ID,Hook Style,Main Text,Comment Text
34,포만감 미침,이거 알려준 필테쌤 어디계십니까??? 절 오백번 올릴께요~~~~~ 재료 진짜 건강한데 포만감이 미쳤음;; 2주 저녁으로 조졌더니 벌써 3키로 빠짐!! 😊,[광고] 신발을 비벼도 맛있을 소스가 킥 🍝 1. 파스타 면 삶아 찬물 헹구고 올리브오일 코팅 2. 새우 살짝 데치고 삶은 계란 자르기 3. 볼에 모든 재료 킥소스 넣고 버무리기
35,치킨 압살,이거 알려준 이모님 어디계십니까??? 해명 부탁드립니다!!!!! 반찬으로 한건데 남편이 치킨보다 맛있다며 맥주 6캔 깠어요;;;;; 오늘 또 해달라네요ㅠㅋㅋㅋㅋㅋ,[광고] 교촌보다 맛있는 단짠 꾸덕 두부강정 🤎 1. 두부 깍둑썰기 물기제거 2. 봉지에 비법가루랑 두부 흔들어 코팅 3. 팬에 기름 두르고 노릇하게 굽기 4. 양념장 붓고 약불에서 졸이기
36,눈물 펑펑,이거 알려준 스치니 어디계십니까!!! 절 오백번 올려요~~~~~ 친정엄마 아프신데 요즘 통 밥도 잘 못드셨거든;; 이거 해갔더니 돌아가신 외할머니 생각 난다고 눈물 흘리면서 다 드시네ㅠㅠ 앞으로 자주자주 해드려야겠다!! 😊,[광고] 외할머니 손두부 🤍 1. 두부 물기 짜서 대충 접시 담기 2. 대파 채썰고 분량 양념재료 섞기 3. 야채 섞은 양념장 두부 위에 얹기
37,카페 퀄리티,이거 알려준 카페 알바생 어디계십니까??? 밀가루 1도 없이 바나나로 카페 퀄리티 뽑아버림ㅋㅋㅋㅋ 생각보다 금방하니까 저장하고 꼭 해봐!! 😊,[광고] 카페 사장님 긴장각 바나나 말차 케이크 🍌 1. 바나나 곱게 으깨고 2. 계란 말차가루 섞기 3. 용기에 담아 180도 예열된 에프에 20분 굽기 4. 한김 식힌 후 냉장고 1시간 넣어두고 말차크림 올려주기
38,변비 직빵,이거 알려준 스치니 어디계십니까??? 절 오백번 박습니다!!!!! 쫀득하니 중독성 오져서 앉은 자리에서 다 까먹었는데 40년만에 변비 뚫림;;ㄷㄷ,[광고] ⬇ 쾌변 미쳐서 여기서 다시삼ㅋㅋㅋ ⬇
39,술안주/극락,이거 알려준 스치니 어디계십니까??? 나 책임져라 진짜~~~~~ 어제 이거 먹다 맥주 6캔 깠다;;;ㄷㄷ 남편이 오늘 또 해달래ㅠㅋㅋㅋㅋ,[광고] 맥주랑 먹으면 ㄹㅇ 극락! 🥔 1. 감자 익혀서 납작하게 펴기 2. 시즈닝 뿌리고 180도 에프 구워 3. 특제 요거트 소스 찍어먹기
40,다이어트/존맛,이거 알려준 필테쌤 어디계십니까??? 절 오백번 올릴께유~~~~~ 입터질때 이거 먹고 버텼더니 운동없이 한달만에 5키로 빠짐!!ㄷㄷ,[광고] 시원하게 먹음 존맛탱!! 🍓 1. 라이스페이퍼 따뜻한 물 적시기 2. 그 위에 요거트 과일 올리기 3. 착착 접어 냉동실 2시간
41,호텔 향기,이거 알려준 스치니 어디계십니까??? 절 오백번 올립니다~~~~~ 남편이 퇴근하고 와서 집에서 왜 호텔 냄새가 나냐고;;ㅋㅋㅋㅋ 이제 비싼 디퓨저 안사도 됨!! 😊,[광고] ⬇ 이가격에 5성급 호텔이라니ㅋㅋ ⬇
42,시댁 사랑,이거 알려주신 이모님 어디 계십니까?? 절 오백번 올릴께요~~~~~ 시댁에 가져갔더니 형님 갈비찜보다 이게 더 인기 폭발함;; 🤭 시아버지가 몰래 용돈 주시면서 또 해오래ㅋㅋ,[광고] 매콤 상콤 감칠맛 미쳐서 입맛 싹돌아옴 🍜 당면 배추 데쳐 양념에 버무리기만 하면 끝
43,기괴/소름,어제 자다가 목말라서 거실 나왔는데... 남편이 불 다 꺼놓고 혼자 저러고 있네;;; 소름 돋아서 사진부터 찍음ㅠㅠㅠㅠ,[광고] 📌 무섭게 왜저래 진짜!! 📌
44,술안주/맥주순삭,이거 알려준 이자카야 사장님 어디계십니까??? 나 책임지세요 진짜~~~~~ 어제 이거 먹다 맥주 6캔 까고 엄마 못 알아볼 뻔 했으요;;;ㅠㅜㅋㅋㅋㅋ,[광고] 치킨 라면땅 레시피 🍗 1. 닭가슴살 라면 양념 버무려 재우기 2. 부순 라면 꾹꾹 묻혀 에프에 굽기 3. 팬에 소스 넣고 졸이기
45,시댁 사랑2,이거 알려주신 이모님 어디계십니까?? 절 오백번 올릴께요~~~~~ 시댁에 이거 싸갔더니 형님 갈비찜보다 이게 더 인기 폭발함;;ㅋㅋㅋㅋ 시아버지가 용돈 주시면서 또 해오래!! 😊,[광고] 갈비찜 압살하는 가지전 🍆 가지 얇게 썰어 소금에 재웠다가 부침옷 묻혀 바삭하게 굽기
46,분노/남편 저격,아 놔 아침부터 열받아서;; 무인양품에 하나 남은거 겨우 사왔는데 남편이 쓰레기통에 쳐박음ㅠㅠㅠㅠ 도대체 이게 왜 필요한지 모르겠대 하..,[광고] ⬇ 결국 여기서 다시 구매ㅠㅠ ⬇
47,맥주 6캔,이거 알려준 스치니 어디계십니까?? 나 책임져라 진짜~~~~~ 집에 옥수수캔 있길래 호다닥 해봤는데 정신 차려보니 맥주 6캔 클리어함;; 남편이 내일 또 해달래ㅠㅜㅋㅋㅋㅋ,[광고] 횟집 콘치즈 발라버리는 옥수수 구이 🌽 옥수수 전분가루 버터 시즈닝 가루 비벼서 바삭하게 구워내기
48,추억의 국수,이거 알려준 스치니 어디계십니까??? 절 오백번 올릴께요~~~~~ 시부모님 오셔서 해드렸더니 시아버지가 옛날 생각난다고 눈물 흘리면서 드시네;; 다 드시고 고맙다고 용돈주고 가심!! 😊,[광고] 시원한 국물이 예술 배추고기국수 🍜 고기 먼저 볶고 알배기 배추 육수 부어 소면 삶아먹기
49,다이어트 음료,이거 알려준 스치니 어디계십니까??? 절 오백번 올립니당~~~~~ 입터질때 마셨더니 2주만에 3키로 증발함;;ㄷㄷ 무인양품 가면 무조건 쟁여와!!!,[광고] ⬇ 여름 다이어트 필수품!! ⬇
50,초간단 홈카페,이거 알려준 스치니 어디계십니까??? 절 오백번 받으세요~~~~~ 재료 4개넣고 에프 돌렸더니 10분만에 카페 케익 완성!! 아아랑 먹었더니 너모 맛있당 😊,[광고] 고급카페 압살하는 치즈케이크 🧀 크림치즈 달걀 섞고 에프에 20분만 돌리면 끝!
51,남편 의심,아침에 이거 해줬더니 남편이 브런치 배달시켰냐고;;ㅋㅋㅋㅋ 생각보다 금방하니까 저장하고 꼭해봐!!,[광고] 청담동 브런치 가게 사장님 긴장하게 만드는 미친맛! 🍞 호밀빵 위에 닭다리살 토마토 올려 구워먹기
52,포만감 다이어트,텐퍼센트 알바님 어디계십니까??? 의심해서 죄송합니다ㅠㅠㅠㅠ 진작 할껄;;; 3주만에 바로 5키로 날아가버리네ㄷㄷ,[광고] 반만 마셔도 포만감 대박;; 🥑 바나나 아보카도 우유 갈아서 꿀 넣어 먹기
